Year,State,Exam ,School_ID,Avg_marks,Min_marks,Max_marks,pass_percentage,Exam_comparison,Yearly_Improvement,Average_attendance,school_type
2023,Andhra Pradesh,Quarterly,101,57.23,53,96,82.8,-3.9,4.8,90.9,Private
2023,Andhra Pradesh,Quarterly,101,68.43,65,90,58.75,-4.4,2.7,95,Government
2023,Andhra Pradesh,Quarterly,101,49.14,38,82,88.14,3.6,2.9,94.7,Aided
2023,Andhra Pradesh,Quarterly,101,66.15,40,86,59.38,-1.2,2.7,81,Aided
2023,Andhra Pradesh,Quarterly,101,61.54,64,98,63.22,-4.1,2.5,98,Government
2023,Andhra Pradesh,Quarterly,101,60.81,65,92,85.83,1.1,2.3,86.4,Government
2023,Andhra Pradesh,Quarterly,101,50.05,37,84,77.66,-2.6,2.9,96.5,Government
2023,Andhra Pradesh,Quarterly,101,67.14,50,84,89.69,4.5,4.5,91.2,Government
2023,Andhra Pradesh,Quarterly,101,66.77,41,85,83.61,-4.5,3.8,93.5,Aided
2023,Andhra Pradesh,Quarterly,101,51.38,48,90,65.6,-2.8,4.7,86.2,Aided
2023,Andhra Pradesh,Quarterly,101,41.03,44,90,54.02,5,3.1,94.3,Aided
2023,Andhra Pradesh,Quarterly,101,40.94,64,89,82.68,4.7,2.3,89.4,Private
2023,Andhra Pradesh,Quarterly,101,58.95,57,94,68.49,1.2,3.7,80.3,Government
2023,Andhra Pradesh,Quarterly,101,86.01,37,82,73.93,3.7,2.2,96.2,Government
2023,Andhra Pradesh,Quarterly,101,82.88,59,97,93.53,-2.3,4.5,98.5,Private
2023,Andhra Pradesh,Quarterly,101,77.39,62,92,85.5,4.7,2.6,99.5,Government
2023,Andhra Pradesh,Quarterly,101,73.05,36,95,56.87,3.2,3.4,89.8,Aided
2023,Andhra Pradesh,Quarterly,101,92.78,35,100,50.15,4,4.1,98,Aided
2023,Andhra Pradesh,Quarterly,101,75.1,66,98,70.4,4.2,3.5,84,Private
2023,Andhra Pradesh,Quarterly,101,74.78,59,95,97.16,-2.9,3.3,91,Government
2023,Andhra Pradesh,Quarterly,101,75.82,38,97,86.73,3.3,3.6,94.2,Aided
2023,Andhra Pradesh,Quarterly,101,65.59,36,95,75.04,2.9,4.3,76.8,Aided
2023,Andhra Pradesh,Quarterly,101,49.15,68,87,86.26,2.2,4.6,90.2,Private
2023,Andhra Pradesh,Quarterly,101,41.08,52,93,71.53,-2.4,3.7,86.8,Private
2023,Andhra Pradesh,Quarterly,101,70.01,47,90,92.93,-4.4,4.4,97.4,Private
2023,Andhra Pradesh,Quarterly,101,83.95,33,87,56.39,-0.4,4.5,76.1,Aided
2023,Andhra Pradesh,Quarterly,101,43.26,58,97,68.47,3.3,2.7,89.4,Private
2023,Andhra Pradesh,Quarterly,101,64.64,52,81,96.39,0.4,3.4,92.1,Aided
2023,Andhra Pradesh,Quarterly,101,71.75,67,84,58.9,3.3,4.5,86.4,Private
2023,Andhra Pradesh,Quarterly,101,62.5,65,87,76.44,2.9,2.2,87.8,Government
2023,Andhra Pradesh,Quarterly,101,75.17,67,87,94.8,2.4,3.7,99.8,Aided
2023,Andhra Pradesh,Quarterly,101,83.71,32,94,96.7,0.5,4.5,97.9,Government
2023,Andhra Pradesh,Quarterly,101,51.07,30,99,50.14,0,2.9,84.1,Government
2023,Andhra Pradesh,Quarterly,101,62.35,47,91,94.19,-1.8,4.7,76.9,Private
2023,Andhra Pradesh,Quarterly,101,86.47,69,83,61.82,3.8,3.1,79.9,Government
2023,Andhra Pradesh,Quarterly,101,58.19,59,93,63.9,4.8,2.4,96.4,Aided
2023,Andhra Pradesh,Quarterly,101,79.65,30,89,97.23,4.9,2.6,84.1,Aided
